startix,ndate,trk,meet,race,raceix,hid,fin,post0,nh1
1495652,20150101,DB,A,4,189295,437884,4,2.0000,7.0000
1495653,20150101,DB,A,4,189295,969815,5,5.0000,7.0000
1495654,20150101,DB,A,4,189295,299717,6,4.0000,7.0000
1495655,20150101,DB,A,4,189295,681828,7,6.0000,7.0000
1495656,20150101,DB,A,5,189296,854242,1,8.0000,8.0000
1495657,20150101,DB,A,5,189296,750758,2,2.0000,8.0000
1495658,20150101,DB,A,5,189296,594382,3,7.0000,8.0000
1495659,20150101,DB,A,5,189296,264089,4,1.0000,8.0000
1495660,20150101,DB,A,5,189296,699335,5,6.0000,8.0000
1495661,20150101,DB,A,5,189296,876423,6,3.0000,8.0000
1495662,20150101,DB,A,5,189296,337202,7,4.0000,8.0000
1495663,20150101,DB,A,5,189296,832257,8,5.0000,8.0000
1495664,20150101,DB,A,6,189297,810922,1,6.0000,8.0000
1495665,20150101,DB,A,6,189297,271789,2,3.0000,8.0000
1495666,20150101,DB,A,6,189297,487106,3,7.0000,8.0000
1495667,20150101,DB,A,6,189297,523737,4,4.0000,8.0000
1495668,20150101,DB,A,6,189297,417111,5,1.0000,8.0000
1495669,20150101,DB,A,6,189297,489235,6,2.0000,8.0000
1495670,20150101,DB,A,6,189297,961661,7,8.0000,8.0000
1495671,20150101,DB,A,6,189297,308646,8,5.0000,8.0000
1495672,20150101,DB,A,7,189298,932485,1,8.0000,8.0000
1495673,20150101,DB,A,7,189298,857464,2,7.0000,8.0000
1495674,20150101,DB,A,7,189298,65996,3,3.0000,8.0000
1495675,20150101,DB,A,7,189298,906047,4,1.0000,8.0000
1495676,20150101,DB,A,7,189298,364401,5,2.0000,8.0000
1495677,20150101,DB,A,7,189298,947225,6,5.0000,8.0000
1495678,20150101,DB,A,7,189298,934037,7,4.0000,8.0000
1495679,20150101,DB,A,7,189298,338179,8,6.0000,8.0000
1495680,20150101,DB,A,8,189299,341399,1,5.0000,8.0000
1495681,20150101,DB,A,8,189299,821986,2,3.0000,8.0000
1495682,20150101,DB,A,8,189299,582641,3,1.0000,8.0000
1495683,20150101,DB,A,8,189299,304087,4,4.0000,8.0000
1495684,20150101,DB,A,8,189299,526328,5,6.0000,8.0000
1495685,20150101,DB,A,8,189299,324937,6,2.0000,8.0000
1495686,20150101,DB,A,8,189299,625023,7,7.0000,8.0000
1495687,20150101,DB,A,8,189299,934098,8,8.0000,8.0000
1495688,20150101,DB,T,1,189300,1013303,1,8.0000,8.0000
1495689,20150101,DB,T,1,189300,734519,2,6.0000,8.0000
1495690,20150101,DB,T,1,189300,302437,3,2.0000,8.0000
1495691,20150101,DB,T,1,189300,1469,4,7.0000,8.0000
1495692,20150101,DB,T,1,189300,760611,5,3.0000,8.0000
1495693,20150101,DB,T,1,189300,666583,6,1.0000,8.0000
1495694,20150101,DB,T,1,189300,613905,7,5.0000,8.0000
1495695,20150101,DB,T,1,189300,285518,8,4.0000,8.0000
1495696,20150101,DB,T,2,189301,859214,1,7.0000,8.0000
1495697,20150101,DB,T,2,189301,925109,2,8.0000,8.0000
1495698,20150101,DB,T,2,189301,952321,3,1.0000,8.0000
1495699,20150101,DB,T,2,189301,994797,4,5.0000,8.0000
1495700,20150101,DB,T,2,189301,1067773,5,4.0000,8.0000
1495701,20150101,DB,T,2,189301,990519,6,2.0000,8.0000
1495702,20150101,DB,T,2,189301,1029047,7,3.0000,8.0000
1495703,20150101,DB,T,2,189301,1067324,8,6.0000,8.0000
1495704,20150101,DB,T,3,189302,887618,1,2.0000,8.0000
1495705,20150101,DB,T,3,189302,417385,2,6.0000,8.0000
1495706,20150101,DB,T,3,189302,81729,3,4.0000,8.0000
1495707,20150101,DB,T,3,189302,717976,4,8.0000,8.0000
1495708,20150101,DB,T,3,189302,184526,5,3.0000,8.0000
1495709,20150101,DB,T,3,189302,852406,6,7.0000,8.0000
1495710,20150101,DB,T,3,189302,961732,7,1.0000,8.0000
1495711,20150101,DB,T,3,189302,290970,8,5.0000,8.0000
1495712,20150101,DB,T,4,189303,292720,1,2.0000,7.0000
1495713,20150101,DB,T,4,189303,401226,2,6.0000,7.0000
1495714,20150101,DB,T,4,189303,489304,3,3.0000,7.0000
1495715,20150101,DB,T,4,189303,356108,4,5.0000,7.0000
1495716,20150101,DB,T,4,189303,289236,5,4.0000,7.0000
1495717,20150101,DB,T,4,189303,284720,6,1.0000,7.0000
1495718,20150101,DB,T,4,189303,771793,7,7.0000,7.0000
1495719,20150101,DB,T,5,189304,905500,1,6.0000,8.0000
1495720,20150101,DB,T,5,189304,870141,2,3.0000,8.0000
1495721,20150101,DB,T,5,189304,469774,3,8.0000,8.0000
